Report: Monte Carlo Approximation of Pi


Trial		Approx				Error				
=======		======				======				
1		3.1676				0.0260073464102				
2		3.1396				-0.00199265358979				
3		3.1644				0.0228073464102				
4		3.166				0.0244073464102				
5		3.1248				-0.0167926535898				
6		3.1448				0.00320734641021				
7		3.1452				0.00360734641021				
8		3.11				-0.0315926535898				
9		3.1428				0.00120734641021				
10		3.1444				0.00280734641021				
11		3.1332				-0.00839265358979				
12		3.1596				0.0180073464102				
13		3.1592				0.0176073464102				
14		3.1268				-0.0147926535898				
15		3.122				-0.0195926535898				
16		3.1408				-0.000792653589793				
17		3.1328				-0.00879265358979				
18		3.1444				0.00280734641021				
19		3.146				0.00440734641021				
20		3.1344				-0.00719265358979				
21		3.1488				0.00720734641021				
22		3.138				-0.00359265358979				
23		3.1324				-0.00919265358979				
24		3.132				-0.00959265358979				
25		3.14				-0.00159265358979				
26		3.1576				0.0160073464102				
27		3.118				-0.0235926535898				
28		3.1736				0.0320073464102				
29		3.1072				-0.0343926535898				
30		3.1424				0.000807346410207				
31		3.17				0.0284073464102				
32		3.1368				-0.00479265358979				
33		3.1472				0.00560734641021				
34		3.1708				0.0292073464102				
35		3.1388				-0.00279265358979				
36		3.1436				0.00200734641021				
37		3.136				-0.00559265358979				
38		3.1564				0.0148073464102				
39		3.1532				0.0116073464102				
40		3.118				-0.0235926535898				
41		3.1428				0.00120734641021				
42		3.1548				0.0132073464102				
43		3.15				0.00840734641021				
44		3.1436				0.00200734641021				
45		3.1356				-0.00599265358979				
46		3.15				0.00840734641021				
47		3.1568				0.0152073464102				
48		3.1556				0.0140073464102				
49		3.1808				0.0392073464102				
50		3.1616				0.0200073464102				
51		3.1496				0.00800734641021				
52		3.1468				0.00520734641021				
53		3.1316				-0.00999265358979				
54		3.1164				-0.0251926535898				
55		3.1288				-0.0127926535898				
56		3.1268				-0.0147926535898				
57		3.1296				-0.0119926535898				
58		3.1676				0.0260073464102				
59		3.0976				-0.0439926535898				
60		3.1528				0.0112073464102				
61		3.108				-0.0335926535898				
62		3.1324				-0.00919265358979				
63		3.092				-0.0495926535898				
